TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/2/2022 10:15,22005403362,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999526405,TRESEMME KRATIN SMOOTH ELXR SHP 18X170ML,18,28450.44,7918.4688,55460.8396,559650.2908
6/9/2022 10:11,22005403580,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999502942,VASELINE REPAIRING JELLY PJ 12X50ML ,24,23967.58,8894.369,62296.0306,628623.5816
6/4/2022 9:47,22005403433,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999502942,VASELINE REPAIRING JELLY PJ 12X50ML ,12,23967.58,4447.1845,31148.0153,314311.7908
6/2/2022 10:25,22005403355,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999568849,CITRA ALOE BRIGHT UV 4X6X100ML,24,12454.96,4622.0356,32372.6705,326669.6749
6/9/2022 10:09,22005403581,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999049461,REXONA WMN INVISIBLE DRY RO 4X6X45ML,48,14700,10910.34,76415.8626,771105.5226
6/4/2022 9:49,22005403430,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8992694242502,ZWITSAL BABY BAR SOAP CLASSIC 144X70G,12,3873.88,718.7985,5034.4538,50802.2153
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999574536,BANGO MANIS 24X210ML,120,10045.04,18638.5717,130544.2851,1317310.513
6/4/2022 9:47,22005403433,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999539603,ZWITSAL NATURAL BASIC PACK 6X1PC,6,36576.5,3393.3848,23767.2177,239832.8329
6/9/2022 10:06,22005403585,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999504656,SARIMURNI RL RB 48X(20X1.8G),192,3941.44,11701.347,81956.0646,827011.1976
6/4/2022 9:49,22005403430,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999034030,VASELINE MEN ANTI ACNE FW PJ 24X100G,12,29638.75,5499.4701,38518.2083,388683.7382
6/9/2022 10:08,22005403582,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999501594,LIFEBUOY TS LEMONFRESH ARG 96X110G,96,4923.43,7308.3395,51187.5035,516528.444
6/9/2022 9:59,22005403591,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999706173,PEPSODENT WHITE 120GR/72,216,6902.71,23054.3611,161472.4099,1629403.409
